Rule	Text
7.0.5.	When a player plays or activates an attack, they must declare an attackable object controlled by an opponent as the target of the attack.
7.0.5a	An object is attackable if it is a living object (see Rule 2.5.1), or if it is made attackable by an effect. Example: The ability Spectra generates an effect that makes its source a legal target for an attack, despite it not being a living object.
7.0.5b	The target of an attack remains the target of that attack until the combat chain closes. The player does not have to declare the same target as a previous attack on the combat chain and declaring a different target does not close the combat chain.
7.0.6.	When a layer is added to the stack while the combat chain is open, it is considered to be played/activated/triggered on chain link N where N is the highest chain link, for the purposes of rules and effects. If there are no chain links on the combat chain it is not considered to be played/activated/triggered on any chain link.
7.0.7.	During combat, while the combat chain is open, a player can not play cards or activate activated abilities with the type action, except during the Link Step of combat. (See Section 7.7 - Link Step)
7.0.7a	An action card/ability can still be played/activated as an instant during any step of combat when a player has priority.
7.1.	Layer Step
7.1.1.	The Layer Step is a game state where an attack is unresolved on the stack.
7.1.2.	First, the turn player gains priority.
7.1.3.	Second and finally, when the top layer of the stack is the attack and all players pass in succession, the Layer Step ends and the Attack Step begins.
7.2.	Attack Step
7.2.1.	The Attack Step is a game state where an attack resolves and becomes attacking before any defending cards are declared.
